"prior_samples","past_leakage","T1_level_percent","T1_percent","T2_percent","optimal_samples"
500,0,94,0.35293729,0.4,1427.289085
500,0,94,0.35293729,0.5,839.1470265
500,0,94,0.35293729,0.6,607.0711731
500,0,94,0.35293729,0.7,479.4520991
500,0,94,0.35293729,0.8,398.1256944
500,1,94,0.738319846,0.8,1384.321801
500,0,94,0.35293729,0.9,340.6779755
500,1,94,0.738319846,0.9,874.7736115
500,0,94,0.35293729,1,298.1795371
500,1,94,0.738319846,1,643.802448
500,0,95,0.383217636,0.4,1976.838755
500,0,95,0.383217636,0.5,1010.187595
500,0,95,0.383217636,0.6,698.9833759
500,0,95,0.383217636,0.7,539.7415255
500,0,95,0.383217636,0.8,442.4122356
500,1,95,0.778815533,0.8,1996.688538
500,0,95,0.383217636,0.9,374.9175252
500,1,95,0.778815533,0.9,1113.535685
500,0,95,0.383217636,1,326.0166532
500,1,95,0.778815533,1,781.9826689
500,0,96,0.420690153,0.5,1313.406116
500,0,96,0.420690153,0.6,842.3031079
500,0,96,0.420690153,0.7,629.2948403
500,0,96,0.420690153,0.8,504.9704187
500,0,96,0.420690153,0.9,423.3841167
500,1,96,0.828085644,0.9,1553.262603
500,0,96,0.420690153,1,364.5342295
500,1,96,0.828085644,1,1002.157762
1000,0,94,0.176668768,0.4,799.3445009
1000,1,94,0.369751389,0.4,2792.297559
1000,0,94,0.176668768,0.5,599.6926928
1000,1,94,0.369751389,0.5,1296.778565
1000,0,94,0.176668768,0.6,482.027051
1000,1,94,0.369751389,0.6,851.5730644
1000,2,94,0.528806422,0.6,2007.387083
1000,0,94,0.176668768,0.7,402.845524
1000,1,94,0.369751389,0.7,634.0653156
1000,2,94,0.528806422,0.7,1146.065805
1000,0,94,0.176668768,0.8,346.5437163
1000,1,94,0.369751389,0.8,505.0806065
1000,2,94,0.528806422,0.8,799.3756768
1000,3,94,0.675542651,0.8,1511.534134
1000,0,94,0.176668768,0.9,303.9173686
1000,1,94,0.369751389,0.9,418.8831245
1000,2,94,0.528806422,0.9,611.2009719
1000,3,94,0.675542651,0.9,985.4134597
1000,0,94,0.176668768,1,271.0060187
1000,1,94,0.369751389,1,358.3043653
1000,2,94,0.528806422,1,493.446275
1000,3,94,0.675542651,1,725.8949219
1000,0,95,0.191840671,0.4,887.8814283
1000,1,95,0.390071393,0.4,4041.639337
1000,0,95,0.191840671,0.5,656.0345899
1000,1,95,0.390071393,0.5,1575.628754
1000,0,95,0.191840671,0.6,521.600126
1000,1,95,0.390071393,0.6,993.7246871
1000,2,95,0.552409231,0.6,2673.979467
1000,0,95,0.191840671,0.7,433.8938576
1000,1,95,0.390071393,0.7,726.7436812
1000,2,95,0.552409231,0.7,1397.485548
1000,0,95,0.191840671,0.8,371.6769792
1000,1,95,0.390071393,0.8,572.9747026
1000,2,95,0.552409231,0.8,948.8045207
1000,3,95,0.701764221,0.8,1928.008521
1000,0,95,0.191840671,0.9,325.3074549
1000,1,95,0.390071393,0.9,472.6203112
1000,2,95,0.552409231,0.9,712.8780827
1000,3,95,0.701764221,0.9,1197.331899
1000,0,95,0.191840671,1,289.2355657
1000,1,95,0.390071393,1,401.9073302
1000,2,95,0.552409231,1,570.5682896
1000,3,95,0.701764221,1,863.6487473
1000,0,96,0.210619389,0.4,1014.537785
1000,0,96,0.210619389,0.5,732.9025836
1000,1,96,0.414799838,0.5,2021.025331
1000,0,96,0.210619389,0.6,576.1784443
1000,1,96,0.414799838,0.6,1196.824177
1000,2,96,0.580959787,0.6,4039.500587
1000,0,96,0.210619389,0.7,475.6030085
1000,1,96,0.414799838,0.7,852.7665674
1000,2,96,0.580959787,0.7,1784.074972
1000,0,96,0.210619389,0.8,405.2399174
1000,1,96,0.414799838,0.8,662.786092
1000,2,96,0.580959787,0.8,1151.798305
1000,3,96,0.73337095,0.8,2644.95249
1000,0,96,0.210619389,0.9,353.1951201
1000,1,96,0.414799838,0.9,541.6917824
